Dist Name,Lat,Lon,SOIL_BDOD,SOIL_CEC,SOIL_CLAY,SOIL_NITROGEN,SOIL_PHH2O,SOIL_SAND,SOIL_SILT,SOIL_SOC
Durg,21.19,81.28,,,,,,,,
Bastar,19.12,81.95,1.46,33.6,28.1,1.61,6.5,39.0,32.9,18.9
Raipur,21.25,81.63,,,,,,,,
Bilaspur,22.09,82.15,,,,,,,,
Raigarh,21.9,83.4,,,,,,,,
Surguja,23.1,83.22,1.6,36.3,41.6,2.02,7.0,19.6,38.8,17.1
Jabalpur,23.18,79.94,,,,,,,,
Balaghat,21.81,80.19,,,,,,,,
Chhindwara,22.06,78.94,,,,,,,,
Narsinghpur,22.95,79.19,,,,,,,,
Seoni / Shivani,22.09,79.54,,,,,,,,
Mandla,22.6,80.38,,,,,,,,
Sagar,23.84,78.74,,,,,,,,
Damoh,23.83,79.44,,,,,,,,
Tikamgarh,24.74,78.83,,,,,,,,
Chhatarpur,24.92,79.59,,,,,,,,
Panna,24.72,80.19,,,,,,,,
Rewa,24.53,81.3,,,,,,,,
Sidhi,24.42,81.88,1.57,34.8,33.2,1.44,7.3,25.9,40.9,11.2
Satna,24.6,80.83,1.59,37.5,30.1,1.28,7.5,22.9,47.0,8.8
Shahdol,23.3,81.36,,,,,,,,
Gwalior,26.22,78.17,,,,,,,,
Shivpuri,25.43,77.66,,,,,,,,
Guna,24.65,77.32,,,,,,,,
Datia,25.67,78.46,,,,,,,,
Morena,26.5,78.0,,,,,,,,
Bhind,26.56,78.79,,,,,,,,
Indore,22.72,75.86,,,,,,,,
Ratlam,23.33,75.04,,,,,,,,
Ujjain,23.18,75.77,,,,,,,,
Mandsaur,24.08,75.08,,,,,,,,
Dewas,22.96,76.05,,,,,,,,
Dhar,22.6,75.3,,,,,,,,
Jhabua,22.77,74.59,,,,,,,,
Khargone / West Nimar,21.82,75.61,1.63,41.8,37.6,1.1,7.4,37.7,24.6,8.3
Khandwa / East Nimar,21.83,76.35,,,,,,,,
Sehore,23.2,77.08,,,,,,,,
Raisen,23.33,77.79,,,,,,,,
Vidisha,23.52,77.81,,,,,,,,
Betul,21.91,77.9,1.59,47.2,46.8,1.52,7.2,19.9,33.3,14.5
Rajgarh,24.02,76.73,1.66,29.0,37.2,1.49,7.5,31.7,31.1,10.7
Shajapur,23.43,76.27,1.66,44.4,38.5,1.08,7.4,21.3,40.2,8.9
Hoshangabad,22.75,77.73,,,,,,,,
Srikakulam,18.29,83.9,,,,,,,,
Visakhapatnam,17.69,83.22,1.36,21.3,26.3,1.53,6.6,40.5,33.2,22.9
East Godavari,17.01,81.78,,,,,,,,
West Godavari,16.91,81.35,1.34,23.2,30.7,1.74,6.4,42.9,26.4,23.4
Krishna,16.61,80.81,1.37,20.3,23.8,1.58,6.5,46.5,29.7,20.3
Guntur,16.3,80.45,,,,,,,,
S.P.S. Nellore,14.44,79.99,,,,,,,,
Kurnool,15.83,78.04,,,,,,,,
Ananthapur,14.68,77.6,,,,,,,,
Kadapa YSR,14.47,78.82,,,,,,,,
Chittoor,13.22,79.1,,,,,,,,
Hyderabad,17.38,78.48,,,,,,,,
Nizamabad,18.67,78.1,,,,,,,,
Medak,18.05,78.27,,,,,,,,
Mahabubnagar,16.74,78.0,1.55,25.8,29.0,1.53,6.8,42.0,29.0,19.4
Nalgonda,17.05,79.27,,,,,,,,
Warangal,17.97,79.6,,,,,,,,
Khammam,17.25,80.15,,,,,,,,
Karimnagar,18.44,79.13,,,,,,,,
Adilabad,19.67,78.53,,,,,,,,
Bangalore,12.97,77.59,1.38,21.1,24.6,2.08,6.4,53.6,21.9,27.6
Kolar,13.14,78.13,,,,,,,,
Tumkur,13.34,77.1,,,,,,,,
Mysore,12.3,76.65,,,,,,,,
Mandya,12.52,76.9,,,,,,,,
Hassan,13.0,76.1,,,,,,,,
Shimoge,13.93,75.57,,,,,,,,
Chickmagalur,13.32,75.78,,,,,,,,
Chitradurga,14.23,76.4,,,,,,,,
Bellary,15.15,76.92,,,,,,,,
Dharwad,15.46,75.01,1.37,26.6,29.3,1.54,6.6,45.6,25.1,21.1
Belgaum,15.85,74.5,1.35,34.6,29.3,1.78,6.3,46.8,23.9,24.6
Bijapur / Vijayapura,16.83,75.72,,,,,,,,
Bidar,17.91,77.52,,,,,,,,
Raichur,16.21,77.36,,,,,,,,
Gulbarga / Kalaburagi,17.33,76.82,,,,,,,,
Dakshina Kannada,12.87,75.21,1.23,18.1,32.2,3.54,5.6,43.6,24.3,39.7
Uttara Kannada,14.79,74.7,1.18,22.9,27.3,3.97,5.7,42.5,30.2,39.8
Kodagu / Coorg,12.42,75.74,,,,,,,,
