district,status,n_train_years,n_test_years,test_rmse,ci_coverage
24 Parganas,ok,38.0,20.0,132.3946823398002,1.0
Adilabad,ok,38.0,20.0,152.13920585998693,1.0
Agra,ok,38.0,20.0,107.59006244574313,1.0
Ahmedabad,ok,38.0,20.0,451.7320880599343,0.95
Ahmednagar,ok,38.0,20.0,522.2962425108191,0.9
Ajmer,ok,27.0,18.0,472.7231130444429,0.6666666666666666
Akola,ok,38.0,15.0,319.7057341470282,0.8666666666666667
Alappuzha,ok,38.0,20.0,310.4584736080266,0.85
Aligarh,ok,38.0,20.0,155.25989084888542,1.0
Allahabad,ok,38.0,20.0,225.43020039005958,1.0
Almorah,ok,25.0,20.0,157.53252004030145,0.9
Alwar,ok,32.0,20.0,771.7186471523253,1.0
Amarawati,ok,38.0,13.0,360.55214865536914,0.6923076923076923
Ambala,ok,38.0,20.0,295.929211958447,0.9
Amreli,skipped (too few test years),,,,
Amritsar,ok,38.0,20.0,187.76235026848383,0.9
Ananthapur,ok,38.0,20.0,212.050072193535,1.0
Aurangabad,ok,38.0,12.0,442.81509295225624,0.8333333333333334
Azamgarh,ok,38.0,20.0,181.62752762192542,1.0
Bahraich,ok,38.0,20.0,213.58792189750653,1.0
Balaghat,ok,38.0,20.0,411.38846071665836,0.45
Balasore,ok,38.0,20.0,226.50643692932454,0.95
Ballia,ok,38.0,20.0,254.05409287151423,0.95
Banaskantha,ok,23.0,11.0,276.92143825494145,1.0
Banda,ok,38.0,20.0,316.8432910955147,0.95
Bangalore,ok,38.0,20.0,193.51186463743483,1.0
Bankura,ok,38.0,20.0,62.2892756298831,1.0
Banswara,ok,38.0,20.0,233.75795494541535,1.0
Barabanki,ok,38.0,20.0,345.2943567799917,0.7
Bareilly,ok,38.0,20.0,267.62759505114167,0.9
Bastar,ok,38.0,20.0,345.3523446938486,0.75
Basti,ok,38.0,20.0,230.29294033159158,1.0
Beed,ok,38.0,19.0,130.33566236360568,1.0
Belgaum,ok,38.0,20.0,536.7350710481734,0.85
Bellary,ok,38.0,20.0,133.2749294292983,1.0
Betul,ok,38.0,20.0,577.0934380410811,0.35
Bhagalpur,ok,37.0,20.0,1239.198334660808,0.0
Bhandara,ok,38.0,20.0,547.3632095452167,0.35
Bharatpur,ok,38.0,20.0,353.6526718383034,1.0
Bharuch,ok,38.0,20.0,206.46220618394906,1.0
Bhatinda,ok,38.0,20.0,208.2246321725105,1.0
Bhavnagar,ok,34.0,10.0,230.2609151371864,1.0
Bhilwara,ok,23.0,20.0,182.5331958916679,1.0
Bhind,ok,38.0,20.0,1023.5441636570423,0.15
Bidar,ok,38.0,20.0,227.25223521170952,1.0
Bijapur / Vijayapura,ok,38.0,20.0,162.02595091811565,1.0
Bijnor,ok,38.0,20.0,193.7154991068181,0.95
Bikaner,ok,17.0,19.0,280.4195628514369,0.9473684210526315
Bilashpur,ok,36.0,20.0,349.31620847782426,0.9
Bilaspur,ok,38.0,20.0,237.00876229032977,0.95
Birbhum,ok,38.0,20.0,160.25411828384136,1.0
Bolangir,ok,38.0,20.0,705.7527953691159,0.2
Bombay,ok,20.0,10.0,355.9857925420812,1.0
Budaun,ok,38.0,20.0,185.74665819526848,0.95
Buland Shahar,ok,38.0,20.0,127.78698531007514,1.0
Buldhana,ok,35.0,10.0,54.45310713626007,1.0
Bundi,ok,38.0,20.0,377.45328942180385,0.95
Burdwan,ok,38.0,20.0,111.6908063420992,1.0
Cachar,ok,38.0,20.0,222.63366108375197,0.95
Chamba,ok,36.0,20.0,127.13769362650014,1.0
Chamoli,ok,25.0,20.0,83.18399938020664,0.9
Champaran,ok,38.0,20.0,479.38472750971437,0.8
Chandrapur,ok,38.0,20.0,221.85257288645732,1.0
Chengalpattu MGR / Kanchipuram,ok,38.0,20.0,384.11937911305233,0.85
Chhatarpur,ok,38.0,20.0,159.3368620176798,0.95
Chhindwara,ok,38.0,20.0,574.997677540381,0.2
Chickmagalur,ok,38.0,20.0,100.15969586405417,1.0
Chitradurga,ok,38.0,20.0,88.36626555568076,1.0
Chittoor,ok,38.0,20.0,285.62913810889154,0.8
Chittorgarh,ok,38.0,20.0,204.28750356801316,1.0
Churu,skipped (too few years),,,,
Coimbatore,ok,38.0,20.0,692.995837933951,0.8
Cooch Behar,ok,38.0,20.0,198.9931418507048,0.7
Cuttack,ok,38.0,20.0,274.9343842571285,0.95
Dakshina Kannada,ok,38.0,20.0,100.48939123373293,1.0
Damoh,ok,38.0,20.0,525.7590914812563,0.2
Dangs,ok,38.0,20.0,451.4198313662676,0.85
Darbhanga,ok,38.0,20.0,574.0852870922259,0.45
Darjeeling,ok,38.0,20.0,163.97131850706342,1.0
Darrang,ok,38.0,20.0,267.2513064414841,0.2
Datia,ok,37.0,20.0,358.7670497524301,0.8
Dehradun,ok,38.0,20.0,81.9652332804727,1.0
Deoria,ok,38.0,20.0,288.9673629968193,0.95
Dewas,ok,38.0,19.0,181.88492442814476,0.8421052631578947
Dhanbad,ok,35.0,20.0,595.8802786951189,0.75
Dhar,ok,38.0,19.0,148.34633656372176,0.8421052631578947
Dharwad,ok,38.0,20.0,549.0007072894188,0.95
Dhenkanal,ok,38.0,20.0,683.8823546834996,0.35
Dhule,ok,38.0,20.0,319.7620635029005,0.75
Dibrugarh,ok,33.0,20.0,172.04210535405676,0.8
Dungarpur,ok,38.0,20.0,237.50949453870732,0.9
Durg,ok,38.0,20.0,251.12734512815658,0.85
East Godavari,ok,38.0,20.0,282.99547304687536,0.95
Eranakulam,ok,38.0,20.0,94.31660469475449,0.95
Etah,ok,38.0,20.0,238.5476236946184,0.95
Etawah,ok,38.0,20.0,159.98320387624938,1.0
Faizabad,ok,38.0,20.0,221.42667453015576,0.95
Farrukhabad,ok,38.0,20.0,204.56449751060313,0.95
Fatehpur,ok,38.0,20.0,234.83608678856672,1.0
Ferozpur,ok,38.0,20.0,153.95241347055008,1.0
Ganganagar,ok,38.0,20.0,434.37017830362953,1.0
Ganjam,ok,38.0,20.0,495.47207555436245,0.85
Garhwal,ok,25.0,20.0,165.9552127799408,0.95
Gaya,ok,38.0,20.0,650.0145051858219,0.75
Ghazipur,ok,38.0,20.0,165.27537322691214,1.0
Goalpara,ok,38.0,20.0,188.8528326600994,0.6
Gonda,ok,38.0,20.0,148.4466094684924,1.0
Gorakhpur,ok,38.0,20.0,106.31186874609917,1.0
Gulbarga / Kalaburagi,ok,38.0,20.0,368.6930883930629,0.95
Guna,ok,38.0,20.0,638.4065568687312,0.3
Guntur,ok,38.0,20.0,401.73806800692324,0.85
Gurdaspur,ok,38.0,20.0,241.82978347559344,0.75
Gurgaon,ok,38.0,20.0,321.18377250010917,0.9
Gwalior,ok,38.0,20.0,518.8402061033839,0.8
Hamirpur,ok,38.0,20.0,345.5989083290382,0.8
Hardoi,ok,38.0,20.0,233.74419216628738,0.85
Hassan,ok,38.0,20.0,192.18441888779893,1.0
Hazaribagh,ok,35.0,20.0,530.0859499650588,0.75
Hissar,ok,38.0,20.0,158.3901702568553,1.0
Hooghly,ok,38.0,20.0,108.05329631988666,1.0
Hoshangabad,ok,38.0,20.0,420.8052237904585,0.8
Hoshiarpur,ok,38.0,20.0,142.08838613185011,1.0
Howrah,ok,38.0,20.0,314.01077175461603,0.9
Hyderabad,ok,38.0,20.0,164.081829270788,1.0
Indore,ok,28.0,11.0,74.99825582488498,1.0
Jabalpur,ok,38.0,20.0,442.75943357045674,0.25
Jaipur,skipped (too few years),,,,
Jaisalmer,skipped (too few years),,,,
Jalandhar,ok,38.0,20.0,192.38789045984785,1.0
Jalaun,ok,38.0,20.0,376.64953712926615,0.7
Jalgaon,ok,38.0,14.0,299.77425354679775,0.9285714285714286
Jalore,skipped (too few years),,,,
Jalpaiguri,ok,38.0,20.0,220.14476029493048,0.9
Jamnagar,ok,18.0,10.0,1129.5061520708089,0.7
Jaunpur,ok,38.0,20.0,177.2029252013976,1.0
Jhabua,ok,38.0,20.0,194.71615671405957,0.75
Jhalawar,ok,37.0,20.0,628.2632759089573,0.7
Jhansi,ok,38.0,20.0,501.36041150849735,0.3
