Dist Name,Year,actual,ssm_forecast,ssm_ci_lower,ssm_ci_upper
24 Parganas,2006,2362.06,2585.2848625373554,2214.742263716473,2955.8274613582375
24 Parganas,2007,2314.07,2434.602613453297,2064.060014632415,2805.1452122741794
24 Parganas,2008,2399.57,2302.6651491906277,1932.1225503697456,2673.20774801151
24 Parganas,2009,2364.4,2292.7976843265033,1922.255085505621,2663.3402831473854
24 Parganas,2010,2455.78,2362.3419780888726,1991.7993792679904,2732.8845769097547
24 Parganas,2011,2458.3,2474.3581587166254,2103.8155598957433,2844.9007575375076
24 Parganas,2012,2607.24,2372.42311235415,2001.8805135332677,2742.965711175032
24 Parganas,2013,2706.36,2424.0891578847977,2053.5465590639155,2794.63175670568
24 Parganas,2014,2743.84,2705.487587314765,2334.9449884938826,3076.030186135647
24 Parganas,2015,2574.86,2785.2263139437046,2414.6837151228224,3155.7689127645867
24 Parganas,2016,2760.8754,2620.635264854583,2250.092666033701,2991.1778636754652
24 Parganas,2017,2762.2887,2678.4275632393155,2307.8849644184334,3048.9701620601977
24 Parganas,2018,2827.1009,2734.0178704831183,2363.475271662236,3104.5604693040004
24 Parganas,2019,2879.2313,2788.8181736822353,2418.275574861353,3159.3607725031175
24 Parganas,2020,2924.9332,2838.845102374376,2468.302503553494,3209.387701195258
24 Parganas,2021,2937.51,2869.895797675552,2499.3531988546697,3240.438396496434
24 Parganas,2022,3038.7881,2933.834540001396,2563.2919411805137,3304.377138822278
24 Parganas,2023,3056.3301,2978.585941625275,2608.043342804393,3349.1285404461573
24 Parganas,2024,3072.9092,3006.661589917849,2636.118991096967,3377.2041887387313
24 Parganas,2025,3110.1719,3038.109669282934,2667.567070462052,3408.6522681038164
Adilabad,2006,2411.47,2298.5569912189208,1613.2081038726174,2983.905878565224
Adilabad,2007,2372.39,2334.436965320546,1649.0880779742515,3019.78585266684
Adilabad,2008,2566.7,2339.4024898363186,1654.0536024900289,3024.7513771826084
Adilabad,2009,2046.97,2138.706705712816,1453.3578183665281,2824.055593059104
Adilabad,2010,2817.78,2525.718488517669,1840.3696011713819,3211.067375863956
Adilabad,2011,2616.91,2397.6985315811353,1712.3496442348487,3083.047418927422
Adilabad,2012,2646.93,2496.4119971939435,1811.063109847657,3181.76088454023
Adilabad,2013,2744.62,2632.3423478332606,1946.9934604869743,3317.691235179547
Adilabad,2014,2518.57,2406.9017297812843,1721.552842434998,3092.250617127571
Adilabad,2015,2636.52,2536.6046377203756,1851.2557503740893,3221.953525066662
Adilabad,2016,2699.2745,2579.0431892025804,1893.6943018562943,3264.3920765488665
Adilabad,2017,2725.9741,2606.3788293441053,1921.0299419978192,3291.7277166903914
Adilabad,2018,2755.8754,2634.4897662154076,1949.1408788691215,3319.8386535616937
Adilabad,2019,2874.573,2689.9842931994453,2004.6354058531592,3375.3331805457315
Adilabad,2020,2887.8856,2734.2310785265045,2048.8821911802183,3419.5799658727906
Adilabad,2021,2854.246,2754.238435671934,2068.889548325648,3439.58732301822
Adilabad,2022,3044.2751,2824.3067317984187,2138.9578444521326,3509.655619144705
Adilabad,2023,2946.1041,2846.432069705621,2161.083182359335,3531.780957051907
Adilabad,2024,2973.3746,2867.2440052100974,2181.8951178638113,3552.5928925563835
Adilabad,2025,3028.2047,2898.4850165136527,2213.1361291673666,3583.833903859939
Agra,2006,2726.17,2636.026257992249,2100.327845638081,3171.7246703464175
Agra,2007,2782.03,2722.7116943528845,2187.013281998716,3258.410106707053
Agra,2008,2673.14,2906.167223287527,2370.468810933359,3441.8656356416955
Agra,2009,2401.56,2521.046215756408,1985.3478034022396,3056.7446281105763
Agra,2010,2453.39,2584.0016676161104,2048.303255261942,3119.7000799702787
Agra,2011,2695.22,2539.5759234015895,2003.8775110474212,3075.274335755758
Agra,2012,2726.38,2556.5637440739247,2020.8653317197563,3092.262156428093
Agra,2013,2660.53,2765.891913018023,2230.1935006638546,3301.5903253721913
Agra,2014,2403.74,2592.3935376386225,2056.695125284454,3128.091949992791
Agra,2015,2397.9,2493.938085164138,1958.2396728099698,3029.6364975183064
Agra,2016,2452.1277,2367.9121524801167,1832.2137401259483,2903.610564834285
Agra,2017,2377.7597,2412.159985274975,1876.4615729208067,2947.8583976291434
Agra,2018,2362.9633,2381.497841262706,1845.7994289085377,2917.1962536168744
Agra,2019,2442.3595,2366.170404923935,1830.4719925697668,2901.8688172781035
Agra,2020,2389.7198,2406.2539589006074,1870.555546546439,2941.9523712547757
Agra,2021,2342.1038,2385.6501355350765,1849.9517231809082,2921.348547889245
Agra,2022,2303.8396,2347.76952410807,1812.0711117539017,2883.4679364622384
Agra,2023,2239.0466,2308.248644653586,1772.5502322994175,2843.947057007754
Agra,2024,2210.0693,2253.9633061187624,1718.264893764594,2789.6617184729307
Agra,2025,2222.1519,2218.473654234479,1682.7752418803107,2754.1720665886473
Ahmedabad,2006,1907.9,2514.664487513219,1802.005405809452,3227.3235692169856
Ahmedabad,2007,2105.39,1958.103778892241,1245.4446971884745,2670.7628605960076
Ahmedabad,2008,1866.61,1689.3120150530785,976.652933349312,2401.9710967568453
Ahmedabad,2009,2513.26,1492.5608715969902,779.9017898932236,2205.219953300757
Ahmedabad,2010,2701.08,2311.992583379686,1599.3335016759195,3024.651665083453
Ahmedabad,2011,2729.43,2268.8726600486743,1556.2135783449078,2981.531741752441
Ahmedabad,2012,2011.77,2254.9905909583654,1542.3315092545988,2967.6496726621317
Ahmedabad,2013,2370.66,2627.7389650218824,1915.079883318116,3340.398046725649
Ahmedabad,2014,2666.66,2041.9997451594436,1329.340663455677,2754.6588268632104
Ahmedabad,2015,2574.07,2170.861887933782,1458.2028062300153,2883.5209696375487
Ahmedabad,2016,2798.4906,2361.7213101045854,1649.0622284008189,3074.380391808352
Ahmedabad,2017,2715.0548,2301.0683798912023,1588.4092981874358,3013.727461594969
Ahmedabad,2018,2872.1265,2467.8810425893753,1755.2219608856087,3180.540124293142
Ahmedabad,2019,2966.2103,2569.3604727021,1856.7013909983336,3282.019554405867
Ahmedabad,2020,2983.7412,2593.0887702234013,1880.4296885196347,3305.747851927168
Ahmedabad,2021,3047.9282,2660.284375184524,1947.6252934807574,3372.9434568882907
Ahmedabad,2022,3036.1693,2651.915813586555,1939.2567318827885,3364.5748952903214
Ahmedabad,2023,3257.4934,2870.816905435803,2158.1578237320364,3583.47598713957
Ahmedabad,2024,3316.7167,2931.6970894129513,2219.038007709185,3644.3561711167176
Ahmedabad,2025,3229.5125,2848.3933233160938,2135.7342416123274,3561.05240501986
Ahmednagar,2006,785.71,855.0836389788624,168.32718335721836,1541.8400946005063
Ahmednagar,2007,1190.7,556.5810547682707,-130.17540085337328,1243.3375103899148
Ahmednagar,2008,978.49,858.9455416810623,172.1890860594183,1545.7019973027063
Ahmednagar,2009,378.38,780.253991471322,93.497535849678,1467.010447092966
Ahmednagar,2010,937.33,787.6528921790048,100.89643655736074,1474.409347800649
Ahmednagar,2011,987.34,682.6869226352073,-4.069532986436684,1369.4433782568512
Ahmednagar,2012,614.67,702.565932346284,15.809476724639921,1389.322387967928
Ahmednagar,2013,2405.06,873.3461542749,186.58969865325594,1560.102609896544
Ahmednagar,2014,255.81,1528.7446685291861,841.9882129075421,2215.50112415083
Ahmednagar,2015,1228.57,860.4508314844297,173.6943758627857,1547.2072871060736
Ahmednagar,2016,1014.5893,937.4883948634849,250.7319392418409,1624.244850485129
Ahmednagar,2017,1393.376,936.4608865167377,249.70443089509365,1623.2173421383818
Ahmednagar,2018,804.4222,1113.253153674143,426.496698052499,1800.009609295787
Ahmednagar,2019,1077.1799,945.5498685454995,258.7934129238555,1632.3063241671434
Ahmednagar,2020,1449.681,968.3221689046604,281.5657132830164,1655.0786245263043
Ahmednagar,2021,1345.412,1149.5461016008808,462.78964597923675,1836.3025572225247
Ahmednagar,2022,1266.0909,1206.137607755069,519.381152133425,1892.894063376713
Ahmednagar,2023,1306.2754,1201.995698623895,515.2392430022509,1888.7521542455388
Ahmednagar,2024,1370.4665,1216.8593490779433,530.1028934562993,1903.6158046995874
Ahmednagar,2025,1366.4774,1254.0608855679975,567.3044299463535,1940.8173411896414
Ajmer,2006,1000.0,2006.7424225017785,1515.7580854179223,2497.7267595856347
Ajmer,2007,1000.0,1133.8167108105063,642.8323737266501,1624.8010478943625
Ajmer,2009,1000.0,420.030617094797,-70.95371998905915,911.0149541786532
Ajmer,2010,2000.0,1456.4169495155857,965.4326124317295,1947.4012865994418
Ajmer,2011,2000.0,2196.237991374712,1705.2536542908556,2687.222328458568
Ajmer,2012,1000.0,1827.495994200628,1336.5116571167719,2318.4803312844842
Ajmer,2013,1000.0,1622.0043854531978,1131.0200483693416,2112.988722537054
Ajmer,2014,2000.0,935.7319052767489,444.74756819289274,1426.716242360605
Ajmer,2016,1506.9557,1612.3743515152328,1121.3900144313766,2103.358688599089
Ajmer,2017,1546.7573,1579.9021146767918,1088.9177775929356,2070.886451760648
Ajmer,2018,1581.8086,1588.3711702279506,1097.3868331440945,2079.355507311807
Ajmer,2019,1604.8261,1609.7357768573856,1118.7514397735295,2100.720113941242
Ajmer,2020,1364.3202,1575.8724389165582,1084.888101832702,2066.8567760004144
Ajmer,2021,1340.1088,1468.2095950364,977.2252579525439,1959.1939321202562
Ajmer,2022,1649.9027,1480.1651761212997,989.1808390374435,1971.149513205156
Ajmer,2023,1730.089,1615.9748080361878,1124.9904709523316,2106.959145120044
Ajmer,2024,1654.2433,1686.2325204444533,1195.248183360597,2177.2168575283094
Ajmer,2025,1693.0563,1696.2372472467305,1205.2529101628743,2187.2215843305867
Akola,2006,500.0,480.8934207528705,76.21493583874792,885.5719056669931
Akola,2007,800.0,412.41844895699023,7.739964042867655,817.0969338711128
Akola,2008,1000.0,576.029978922988,171.35149400886542,980.7084638371106
Akola,2009,1600.0,790.5380221516257,385.8595372375031,1195.2165070657484
Akola,2011,1000.0,1340.8066147453837,936.1281298312612,1745.4850996595064
Akola,2016,1492.7216,1114.6009471539328,709.9224622398102,1519.2794320680555
Akola,2017,1518.1096,1344.9385816649603,940.2600967508378,1749.6170665790828
Akola,2018,1601.3341,1451.2742888763296,1046.595803962207,1855.9527737904523
Akola,2019,1514.2237,1520.5640942383043,1115.8856093241816,1925.242579152427
Akola,2020,1677.6934,1522.1741269933189,1117.4956420791964,1926.8526119074413
Akola,2021,1595.9266,1595.6734181138959,1190.9949331997732,2000.3519030280186
Akola,2022,1892.2896,1618.8637707322412,1214.1852858181187,2023.5422556463636
Akola,2023,1640.3218,1745.8018634436285,1341.1233785295058,2150.480348357751
Akola,2024,2026.8201,1712.8984991682817,1308.2200142541592,2117.576984082404
Akola,2025,2069.5917,1904.3009844265184,1499.6224995123957,2308.979469340641
Alappuzha,2006,2902.77,2523.872081055504,2056.697483214801,2991.046678896207
Alappuzha,2007,1867.73,2505.6827238000174,2038.5081259609826,2972.857321639052
Alappuzha,2008,3053.6,2263.260926927627,1796.0863290894767,2730.4355247657777
Alappuzha,2009,2930.02,2742.247048063113,2275.072450225431,3209.4216459007953
Alappuzha,2010,2464.38,2725.7210509052534,2258.54645306782,3192.8956487426867
Alappuzha,2011,3089.1,2538.826429528035,2071.651831690733,3006.001027365337
Alappuzha,2012,2889.23,2657.00467645474,2189.8300786175078,3124.1792742919724
Alappuzha,2013,2857.49,2680.0865686111624,2212.9119707739674,3147.2611664483575
Alappuzha,2014,2995.35,2760.084016002637,2292.9094181654614,3227.2586138398124
Alappuzha,2015,2816.52,2854.0355193430114,2386.860921505846,3321.210117180177
Alappuzha,2016,2923.9852,2888.742117440281,2421.5675196031216,3355.9167152774407
Alappuzha,2017,3086.9283,2931.5939728511084,2464.4193750139516,3398.7685706882653
Alappuzha,2018,3026.0887,2949.4698448473955,2482.29524701024,3416.644442684551
Alappuzha,2019,3145.6,2992.387551679515,2525.2129538423605,3459.5621495166697
Alappuzha,2020,3094.2931,3012.1512489362544,2544.9766510991003,3479.3258467734086
Alappuzha,2021,3383.1453,3100.189782520165,2633.0151846830113,3567.3643803573186
Alappuzha,2022,3345.9967,3158.864297123589,2691.6896992864354,3626.0388949607427
Alappuzha,2023,3246.9819,3175.560871473453,2708.3862736362994,3642.7354693106067
Alappuzha,2024,3300.7365,3200.128904359199,2732.9543065220455,3667.303502196353
Alappuzha,2025,3339.2682,3228.717834797641,2761.5432369604873,3695.8924326347947
Aligarh,2006,2030.98,1954.1557798053032,1411.8744817242218,2496.4370778863845
Aligarh,2007,1994.62,2017.352929033163,1475.0716309520817,2559.6342271142444
Aligarh,2008,2122.65,2063.7179403288515,1521.4366422477701,2605.999238409933
Aligarh,2009,1725.69,2057.9422248855635,1515.6609268044822,2600.223522966645
Aligarh,2010,1982.05,1923.0099747187542,1380.7286766376728,2465.2912727998355
Aligarh,2011,2165.82,1977.5733447323246,1435.2920466512433,2519.854642813406
Aligarh,2012,2443.8,1993.2016179889988,1450.9203199079175,2535.48291607008
Aligarh,2013,2264.83,2292.0717200214276,1749.7904219403463,2834.353018102509
Aligarh,2014,2159.98,2184.262039633194,1641.9807415521127,2726.5433377142754
Aligarh,2015,2258.94,2194.7933930345225,1652.5120949534412,2737.074691115604
Aligarh,2016,2337.586,2214.407649738329,1672.1263516572476,2756.6889478194103
Aligarh,2017,2278.4392,2238.150564989763,1695.8692669086818,2780.4318630708444
Aligarh,2018,2371.8081,2269.0168633964818,1726.7355653154004,2811.298161477563
Aligarh,2019,2378.3177,2302.2583418635877,1759.9770437825064,2844.539639944669
Aligarh,2020,2515.5002,2360.241041863436,1817.9597437823545,2902.522339944517
Aligarh,2021,2522.6129,2415.730046963329,1873.4487488822479,2958.0113450444105
Aligarh,2022,2487.2773,2439.1720593657396,1896.8907612846583,2981.453357446821
Aligarh,2023,2673.8557,2498.9840877986444,1956.702789717563,3041.2653858797257
Aligarh,2024,2642.5225,2552.1357422241645,2009.8544441430831,3094.417040305246
Aligarh,2025,2648.4074,2579.9895857808388,2037.7082876997574,3122.27088386192
Allahabad,2006,1997.06,1826.4070404677814,1363.3171142400588,2289.496966695504
Allahabad,2007,2041.05,2049.819101332647,1586.7291751049243,2512.9090275603694
Allahabad,2008,2390.51,2055.541790718434,1592.4518644907116,2518.6317169461568
Allahabad,2009,2163.94,2100.932588870573,1637.8426626428504,2564.0225150982956
Allahabad,2010,2256.17,2118.125631691314,1655.0357054635915,2581.2155579190367
Allahabad,2011,2525.74,2228.2703360500527,1765.1804098223301,2691.3602622777753
Allahabad,2012,2704.84,2266.5705049044973,1803.4805786767747,2729.66043113222
Allahabad,2013,2535.03,2902.9281160654223,2439.8381898376997,3366.018042293145
Allahabad,2014,2114.15,2560.104878870863,2097.0149526431405,3023.1948050985857
Allahabad,2015,1901.47,2223.6873122209936,1760.597385993271,2686.777238448716
Allahabad,2016,2433.81,2149.8773991544094,1686.7874729266869,2612.967325382132
Allahabad,2017,2492.1242,2312.2893236844857,1849.199397456763,2775.3792499122083
Allahabad,2018,2420.8416,2392.165482159128,1929.0755559314052,2855.2554083868504
Allahabad,2019,2416.4213,2412.913585149452,1949.8236589217295,2876.0035113771746
Allahabad,2020,2329.0037,2401.4337628403596,1938.343836612637,2864.523689068082
Allahabad,2021,2345.5141,2376.994622108843,1913.9046958811205,2840.0845483365656
Allahabad,2022,2505.578,2407.0829963487886,1943.993070121066,2870.172922576511
Allahabad,2023,2492.9906,2460.575185370483,1997.4852591427602,2923.6651115982054
Allahabad,2024,2480.5457,2481.277687680704,2018.1877614529812,2944.3676139084264
Allahabad,2025,2557.2436,2506.7803377866694,2043.6904115589468,2969.870264014392
Almorah,2006,1170.72,1185.5212465667996,962.7675521293829,1408.2749410042163
Almorah,2007,1200.24,1068.046075604657,845.4570405845132,1290.635110624801
Almorah,2008,1171.58,1181.2195790108128,958.7831205095164,1403.6560375121094
Almorah,2009,1137.58,1146.394012545603,924.0993306555424,1368.6886944356634
Almorah,2010,1103.67,1195.3487725558311,973.1861749158992,1417.511370195763
Almorah,2011,1253.77,1130.3752509045646,908.3360062555948,1352.4144955535344
Almorah,2012,1248.42,1161.3046736851466,939.3808888566844,1383.2284585136088
Almorah,2013,1303.63,1087.5115903602948,865.6961063291003,1309.3270743914893
Almorah,2014,1322.01,1141.7057630164275,919.9920665950272,1363.4194594378278
Almorah,2015,1228.21,1156.55316129574,934.9353097128215,1378.1710128786585
Almorah,2016,1304.6183,1147.1498440717555,925.6224002500003,1368.6772878935108
Almorah,2017,1300.5969,1177.5431746175461,956.1011513782713,1398.9851978568208
Almorah,2018,1349.5719,1135.9295413355915,914.5683530923244,1357.2907295788586
Almorah,2019,1361.8233,1145.7834678498061,924.4988886160671,1367.0680470835453
Almorah,2020,1345.0453,1194.434093872208,973.2222206182876,1415.6459671261284
Almorah,2021,1388.5008,1160.6383120475382,939.495532608923,1381.7810914861534
Almorah,2022,1404.4875,1165.4330791657576,944.3560440411659,1386.5101142903493
Almorah,2023,1373.6144,1233.1057211600219,1012.0913186466989,1454.1201236733448
Almorah,2024,1415.5477,1200.8515115983366,979.8968458016568,1421.8061773950164
Almorah,2025,1412.3936,1230.599369841304,1009.7017411689599,1451.4969985136481
Alwar,2006,1538.46,1153.451596217904,120.39318761832783,2186.51000481748
Alwar,2007,2000.0,1145.6237769475329,113.03213659274138,2178.2154173023246
Alwar,2008,1777.78,1156.253293826364,124.10137361619991,2188.405214036528
Alwar,2009,1485.71,1233.2078720701138,201.4709088715381,2264.9448352686895
Alwar,2010,2026.32,1263.550207922303,232.2054732346685,2294.894942609937
Alwar,2011,1868.42,1209.976692360889,179.00327535117344,2240.950109370605
Alwar,2012,1759.49,1224.747419579025,194.12603828751799,2255.368800870532
Alwar,2013,2150.0,1286.5297590740852,256.24259551231216,2316.816922635858
Alwar,2014,2200.0,1303.8462086240547,273.8767642260559,2333.8156530220535
Alwar,2015,2000.0,1364.558974530889,334.89194301579005,2394.2260060459876
Alwar,2016,2102.1569,1389.8917863884694,360.5129415767815,2419.2706312001574
Alwar,2017,2206.2566,1425.459163680072,396.35526020155726,2454.563067158587
Alwar,2018,2190.5566,1442.9493478050624,414.1080329603358,2471.790662649789
Alwar,2019,2339.4612,1485.7884153103316,457.19815061567897,2514.3786800049843
Alwar,2020,2344.9557,1507.48981085657,479.1398020227955,2535.8398196903445
Alwar,2021,2436.5847,1542.3280127896128,514.2081470697817,2570.447878509444
Alwar,2022,2412.1124,1559.2861651444157,531.386955139069,2587.1853751497624
Alwar,2023,2484.7613,1590.6551238190305,562.9676569563062,2618.3425906817547
Alwar,2024,2571.963,1624.8254625058644,597.3413555224224,2652.3095694893063
